index,authors,title,publish_date,description,main_story,url
0,[],More vital now:' Gay-straight alliances go virtual during coronavirus pandemic,2020-05-03,Lily Overacker and Laurell Pallot start each gay-straight alliance meeting with everyone introducing...,Lily Overacker and Laurell Pallot start each gay-straight alliance meeting with everyone introducing...,https://www.cbc.ca/news/canada/calgary/gay-straight-alliances-1.5553816
1,[],Scientists aim to 'see' invisible transmission of coronavirus,2020-05-02,Some researchers aim to learn more about how the coronavirus is transmitted by trying to make invisi...,"This is an excerpt from Second Opinion, a weekly roundup of eclectic and under-the-radar health and ...",https://www.cbc.ca/news/technology/droplet-transmission-1.5549547
2,['The Canadian Press'],Coronavirus: What's happening in Canada and around the world on May 2,2020-05-02,Canada's chief public health officer struck an optimistic tone about the COVID-19 pandemic on Saturd...,"The latest: The lives behind the numbers: What we know about the first 1,000 COVID-19 deaths in Can...",https://www.cbc.ca/news/canada/coronavirus-covid19-may2-canada-world-1.5553451
3,[],"B.C. announces 26 new coronavirus cases, new community outbreak at poultry plant",2020-05-02,B.C. provincial health officer Dr. Bonnie Henry announced 26 new coronavirus cases in the province o...,B.C. provincial health officer Dr. Bonnie Henry announced 26 new coronavirus cases in the province o...,https://www.cbc.ca/news/canada/british-columbia/b-c-announces-26-new-coronavirus-cases-bringing-tota...
4,[],"B.C. announces 26 new coronavirus cases, new community outbreak at poultry plant",2020-05-02,B.C. provincial health officer Dr. Bonnie Henry announced 26 new coronavirus cases in the province o...,B.C. provincial health officer Dr. Bonnie Henry announced 26 new coronavirus cases in the province o...,https://www.cbc.ca/news/canada/british-columbia/b-c-announces-26-new-coronavirus-cases-new-community...
5,"['Senior Writer', 'Chris Arsenault Is A Senior Writer Who Joined Cbc News In Toronto After A Decade ...",Brazil has the most confirmed COVID-19 cases in Latin America. 'So what?' says President Bolsonaro,2020-05-02,"From describing coronavirus as a ""little flu,"" to urging people to ignore the ""hysteria"" and get bac...","With infection rates spiralling, some big city ICUs on the verge of collapse and COVID-19 spreading ...",https://www.cbc.ca/news/world/brazil-has-the-most-confirmed-covid-19-cases-in-latin-america-so-what-...
6,['Cbc News'],The latest on the coronavirus outbreak for May 1,2020-05-01,"The latest on the coronavirus outbreak from CBC News for Friday, May 1.","Coronavirus Brief (CBC) Canada is officially in a recession because of the pandemic, C.D. Howe sa...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-may-1-1.5552899
7,['Cbc News'],Coronavirus: What's happening in Canada and around the world on May 1,2020-05-01,"Nova Scotia announced Friday it is immediately easing some of its COVID-19 restrictions, one day aft...","The latest: The lives behind the numbers: What we know about the first 1,000 COVID-19 deaths in Can...",https://www.cbc.ca/news/canada/coronavirus-covid19-may1-canada-world-1.5550865
8,"['Senior Writer', ""Adam Miller Is Senior Digital Writer With Cbc News. He'S Covered Health"", 'Politi...",Did the WHO mishandle the global coronavirus pandemic?,2020-04-30,The World Health Organization has come under fire for its response to the global coronavirus pandemi...,The World Health Organization has come under fire for its response to the global coronavirus pandemi...,https://www.cbc.ca/news/health/coronavirus-who-china-canada-pandemic-1.5549836
9,['Thomson Reuters'],Armed people in Michigan's legislature protest proposed coronavirus restrictions extension,2020-04-30,"Hundreds of protesters, some armed, gathered at Michigan's state capitol in Lansing on Thursday obje...","Hundreds of protesters, some armed, gathered at Michigan's state Capitol in Lansing on Thursday obje...",https://www.cbc.ca/news/world/protesters-michigan-whitmer-coronavirus-covid-19-1.5551373
10,['Cbc News'],The latest on the coronavirus outbreak for April 30,2020-04-30,"The latest on the coronavirus outbreak from CBC News for Thursday, April 30.","Coronavirus Brief (CBC) The stories behind the first 1,000 lives lost to COVID-19 in Canada. Did ...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-30-1.5551272
11,['Thomson Reuters'],Brazil using mass graves in Amazon region as coronavirus cases spike,2020-04-30,Deaths from the coronavirus outbreak have piled up so fast in the Amazon rainforest's biggest city t...,Deaths from the coronavirus outbreak have piled up so fast in the Amazon rainforest's biggest city t...,https://www.cbc.ca/news/world/brazil-coronavirus-bolsonaro-1.5550341
12,['The Associated Press'],"Coronavirus 'not manmade or genetically modified,' say U.S. intelligence agencies",2020-04-30,"U.S. intelligence agencies said Thursday they believe the new coronavirus was ""not manmade or geneti...","U.S. intelligence agencies said Thursday they believe the new coronavirus was ""not manmade or geneti...",https://www.cbc.ca/news/world/odni-statement-coronavirus-origin-1.5550691
13,['Thomson Reuters'],"Coronavirus will trigger biggest ever plunge in energy demand, emissions, says IEA",2020-04-30,Economic lockdowns brought on by the coronavirus pandemic look set to cut global energy demand and c...,Economic lockdowns brought on by the coronavirus pandemic look set to cut global energy demand and c...,https://www.cbc.ca/news/business/climate-emissions-iea-1.5550394
14,['Cbc News'],Coronavirus: What's happening in Canada and around the world April 30,2020-04-30,Alberta becomes the latest province to unveil a plan for reopening some sectors of the economy amid ...,"The latest: The lives behind the numbers: What we know about the first 1,000 COVID-19 deaths in Can...",https://www.cbc.ca/news/canada/coronavirus-covid19-april30-canada-world-1.5549172
15,[],"Her greatest fear was dying alone — two days after she caught coronavirus, she did",2020-04-30,The 65-year-old should have spent her last day with her husband of 40 years; it was his birthday. In...,Jennifer Patrick was terrified of dying alone. The 65-year-old was diagnosed with pulmonary fibrosi...,https://www.cbc.ca/news/canada/calgary/covid-19-dying-alone-1.5549739
16,"['Video Journalist', ""Colin Butler Is A Veteran Cbc Reporter Who'S Worked In Moncton"", 'Saint John',...","COVID-19's strain brought these London charities together, now they're helping even more people",2020-04-30,"The strain of coronavirus crisis has brought two London non-profits together, who have found that by...",When Jennifer Martino looks back on the last seven weeks since the COVID-19 pandemic took hold it's ...,https://www.cbc.ca/news/canada/london/london-ontario-charity-1.5549514
17,['Thomson Reuters'],China angered by Australian call for international inquiry into coronavirus origin,2020-04-29,"China accused Australia of ""petty tricks"" on Wednesday in an intensifying dispute over Canberra's pu...","China accused Australia of ""petty tricks"" on Wednesday in an intensifying dispute over Canberra's pu...",https://www.cbc.ca/news/world/china-australia-coronavirus-1.5548868
18,['Cbc News'],The latest on the coronavirus outbreak for April 29,2020-04-29,"The latest on the coronavirus outbreak from CBC News for Wednesday, April 29.","Coronavirus Brief (CBC) Number of COVID-19 deaths in Canada surpasses 3,000; MPs meet in House of...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-29-1.5549717
19,['Thomson Reuters'],"Beloved British WWII vet who raised millions for COVID-19 response turns 100, gets a promotion",2020-04-30,"British Second World War veteran captain Tom Moore, who has become a national hero after raising mil...","British Second World War veteran captain Tom Moore, who has become a national hero after raising mil...",https://www.cbc.ca/news/world/beloved-british-wwii-vet-who-raised-millions-for-covid-19-response-tur...
20,['Thomson Reuters'],Trump orders U.S. meat-processing plants to stay open despite coronavirus fears,2020-04-29,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,https://www.cbc.ca/news/canada/calgary/us-meat-plants-trump-1.5548776
21,['Thomson Reuters'],Trump orders U.S. meat-processing plants to stay open despite coronavirus fears,2020-04-29,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,https://www.cbc.ca/news/world/us-meat-plants-trump-1.5548776
22,['Thomson Reuters'],Trump orders U.S. meat-processing plants to stay open despite coronavirus fears,2020-04-29,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,https://www.cbc.ca/news/canada/calgary/us-meat-processing-plants-stay-open-1.5548776
23,['Cbc News'],Queen City Patrol cleans up downtown as some restrictions set to lift in Sask.,2020-05-03,"As the weather warms, families and kids could start spending more time outside. For Patty Will, co-f...","As the weather warms, families and kids could start spending more time outside. For Patty Will, co-f...",https://www.cbc.ca/news/canada/saskatchewan/queen-city-patrol-regina-clean-up-covid-19-coronavirus-1...
24,['The Associated Press'],It's horrific': 68 with coronavirus have died at Massachusetts veterans' home,2020-04-29,Nearly 70 residents sickened with the coronavirus have died at a Massachusetts home for aging vetera...,Nearly 70 residents sickened with the coronavirus have died at a Massachusetts home for aging vetera...,https://www.cbc.ca/news/world/us-veterans-home-1.5548812
25,['The Associated Press'],"White House shifts approach, readies new coronavirus guidelines",2020-04-27,The White House has released new guidelines on coronavirus testing and reopening businesses as it se...,The White House released new guidelines Monday on coronavirus testing and reopening businesses as U....,https://www.cbc.ca/news/trump-economy-coronavirus-1.5546723
26,['Thomson Reuters'],K-pop superstars BTS put world tour on hold over coronavirus,2020-04-28,South Korea's K-pop boy band BTS will suspend their world tour over worries about the spread of the ...,South Korea's K-pop boy band BTS will suspend their world tour over worries about the spread of the ...,https://www.cbc.ca/news/entertainment/bts-world-tour-on-hold-1.5547534
27,['Cbc News'],The latest on the coronavirus outbreak for April 28,2020-04-28,"The latest on the coronavirus outbreak from CBC News for Tuesday, April 28.",Coronavirus Brief (CBC) Trudeau says COVID-19 measures are working — but Canada is 'not out of th...,https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-28-1.5548193
28,['Cbc News'],Coronavirus: What's happening in Canada and around the world April 28,2020-04-28,Quebec has provided details of how it plans to begin to reopen its economy. The province's announcem...,"The latest: LIVE BLOG | Get the latest Tuesday as Trudeau provides COVID-19 update, takes questions...",https://www.cbc.ca/news/world/coronavirus-covid19-canada-world-april28-1.5546206
29,['Thomson Reuters'],Aggressive testing is key to France's plan to end coronavirus lockdown,2020-04-28,France will adopt an aggressive new regimen for COVID-19 testing on May 11 so that it can slowly unw...,France will adopt an aggressive new regimen for COVID-19 testing on May 11 so that it can slowly unw...,https://www.cbc.ca/news/world/france-coronavirus-lockdown-1.5547533
30,['Benjamin Shingler Is A Journalist With Cbc Montreal. Follow Him On Twitter'],"Quebec's move to reopen schools sows confusion, fear among parents",2020-04-28,"For weeks, parents have been told to keep their kids close to home, off the playground and away from...","For weeks, parents in Quebec have been told to keep their kids close to home, off the playground and...",https://www.cbc.ca/news/canada/montreal/quebec-schools-questions-covid-19-roberge-1.5547693
31,['Thomson Reuters'],North Korea's absent Kim may be trying to avoid coronavirus: South Korean cabinet minister,2020-04-28,Fear of catching the coronavirus could have kept North Korean leader Kim Jong-un away from state cer...,Fear of catching the coronavirus could have kept North Korean leader Kim Jong-un away from state cer...,https://www.cbc.ca/news/world/north-korea-kim-jong-un-south-korea-1.5547438
32,['Cbc News'],The latest on the coronavirus outbreak for April 27,2020-04-27,"The latest on the coronavirus outbreak from CBC News for Monday, April 27.","Coronavirus Brief (CBC) Ford 'won't set hard dates' for reopening Ontario, says province must see...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-27-1.5546823
33,['Thomson Reuters'],"U.S. considers new ways of working, living as some states ease coronavirus restrictions",2020-04-27,Georgia on Monday will start allowing residents to dine inside restaurants or watch a movie at a the...,Georgia on Monday started allowing residents to dine inside restaurants or watch a movie at a theatr...,https://www.cbc.ca/news/world/us-coronavirus-monday-1.5546311
34,['Thomson Reuters'],"South Africa marks Freedom Day, but coronavirus is highlighting racial disparities",2020-04-27,"South Africa's divisions over race and wealth inequality, which the COVID-19 crisis had briefly side...","South Africa's divisions over race and wealth inequality, which the COVID-19 crisis had briefly side...",https://www.cbc.ca/news/world/south-africa-coronavirus-1.5546227
35,['Cbc News'],Coronavirus: What's happening in Canada and around the world April 27,2020-04-27,Canada's two largest provinces announced plans on Monday to ease restrictions put in place in respon...,The latest: Quebec moves forward with plan to begin opening schools. Ontario announces three-stage...,https://www.cbc.ca/news/canada/coronavirus-covid19-canada-world-april27-1.5545967
36,['Cbc News'],Coronavirus: What's happening in Canada and around the world on April 26,2020-04-26,"Global deaths from COVID-19 have surpassed 203,000 and reported cases worldwide are approaching thre...","The latest: Global coronavirus deaths top 206,000: Johns Hopkins University Health Canada cautions ...",https://www.cbc.ca/news/canada/coronavirus-covid19-1.5545450
37,['Cbc News'],Very quiet' summer on the horizon for event planners as COVID-19 restrictions continue,2020-05-02,"Summer is fast approaching in Saskatchewan, which is a busy time for event planners, according to Li...",Summer is fast approaching in Saskatchewan — normally a busy time for event planners. But COVID-19 h...,https://www.cbc.ca/news/canada/saskatchewan/event-planning-covid-19-coronavirus-1.5553582
38,['The Associated Press'],Wuhan health officials raise death toll linked to COVID-19 by 50%,2020-04-17,"At least 50 per cent more people died in China's virus epicentre of Wuhan than previously counted, w...","At least 50 per cent more people died in China's virus epicentre of Wuhan than previously counted, w...",https://www.cbc.ca/news/world/chinese-epicentre-wuhan-raises-number-of-virus-dead-by-1-290-1.5535543
39,['The Associated Press'],Wuhan health officials raise death toll linked to COVID-19 by 50%,2020-04-17,"At least 50 per cent more people died in China's virus epicentre of Wuhan than previously counted, w...","At least 50 per cent more people died in China's virus epicentre of Wuhan than previously counted, w...",https://www.cbc.ca/news/world/chinese-epicentre-wuhan-raises-number-of-virus-dead-by-1-290-1.5535543
40,['The Associated Press'],Wuhan health officials raise death toll linked to COVID-19 by 50%,2020-04-17,"At least 50 per cent more people died in China's virus epicentre of Wuhan than previously counted, w...","At least 50 per cent more people died in China's virus epicentre of Wuhan than previously counted, w...",https://www.cbc.ca/news/world/wuhan-officials-raise-death-toll-linked-to-covid-19-by-1-290-1.5535543
41,['Cbc News'],"Testing, testing: The key to controlling coronavirus spread",2020-04-22,"Widespread testing for the coronavirus is considered a key part of the pandemic response, both for d...","Widespread testing for the coronavirus is considered a key part of the pandemic response, both for d...",https://www.cbc.ca/news/health/covid19-testing-explainer-1.5540418
42,['Cbc News'],Coronavirus: What's happening in Canada and around the world on April 25,2020-04-25,"As the global death toll from COVID-19 topped 200,000 on Saturday, countries and jurisdictions aroun...","The latest: More than 200,000 have died globally, Johns Hopkins University researchers say. Healt...",https://www.cbc.ca/news/canada/coronavirus-covid19-1.5545039
43,[],"1 in 10 Canadians believes a coronavirus conspiracy theory, survey suggests",2020-04-24,Conspiracy theories around the origin of the coronavirus have been circulating since it was first id...,"One in 10 Canadians believes a conspiracy theory about the novel coronavirus, according to prelimina...",https://www.cbc.ca/news/technology/coronavirus-conspiracy-theories-popular-canada-1.5542890
44,['Cbc News'],The latest on the coronavirus outbreak for April 24,2020-04-24,"The latest on the coronavirus outbreak from CBC News for Friday, April 24.",Coronavirus Brief (CBC) Trudeau to speak with premiers about reopening the economy. Health expert...,https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-24-1.5544456
45,['The Associated Press'],Mexico says auto factories to reopen with coronavirus safeguards,2020-04-25,The Mexican government says it plans to reopen automotive factories in conjunction with the United S...,The Mexican government says it plans to reopen automotive factories in conjunction with the United S...,https://www.cbc.ca/news/business/mexico-reopen-auto-factories-1.5545102
46,['Thomson Reuters'],Sea turtle baby boom hatches amid coronavirus lockdown,2020-04-20,Thailand has found the largest number of nests of rare leatherback sea turtles in two decades on bea...,Thailand has found the largest number of nests of rare leatherback sea turtles in two decades on bea...,https://www.cbc.ca/news/technology/sea-turtles-1.5538092
47,['Cbc News'],Coronavirus is very real': Bill Woolridge recounts his COVID-19 experience — and recovery,2020-04-23,On Thursday the government of Newfoundland and Labrador announced 205 people have recovered from COV...,Bill Woolridge told his story Thursday about contracting COVID-19 and recovering from it. (Governmen...,https://www.cbc.ca/news/canada/newfoundland-labrador/woolridge-experience-recovery-covid-1.5542934
48,['Cbc News'],Coronavirus: What's happening in Canada and around the world on April 24,2020-04-24,Prime Minister Justin Trudeau says he will discuss the process of restarting parts of the economy am...,The latest: Trudeau unveils rent relief for businesses forced to shut down during pandemic. Ontario...,https://www.cbc.ca/news/canada/coronavirus-covid19-april24-canada-world-1.5542622
49,['The Associated Press'],Muslims begin marking a subdued Ramadan amid coronavirus closures,2020-04-24,"Muslims worldwide began Ramadan on Friday with dawn-to-dusk fasting, but many will have to forgo the...","Muslims worldwide began Ramadan on Friday with dawn-to-dusk fasting, but many will have to forgo the...",https://www.cbc.ca/news/world/ramadan-covid-19-coronavirus-1.5543794
50,['The Associated Press'],Africa low on gear to fight coronavirus as cases surge,2020-04-24,Africa's coronavirus cases have surged 43 per cent in the past week but its countries are dangerousl...,Africa's coronavirus cases have surged 43 per cent in the past week but its countries are behind in ...,https://www.cbc.ca/news/african-coronavirus-covid-19-medical-gear-1.5543713
51,['Thomson Reuters'],Australia to pursue coronavirus investigation at World Health Assembly,2020-04-23,Australia will push for an international investigation into the coronavirus pandemic at next month's...,Australia will push for an international investigation into the coronavirus pandemic at next month's...,https://www.cbc.ca/news/world/australia-who-coronavirus-pandemic-investigation-1.5542172
52,['Cbc News'],Middlesex-London region sees 4 new COVID-19 cases,2020-05-02,"The Middlesex London Health Unit reported four new COVID-19 cases on Saturday. Of the new cases, two...","The Middlesex London Health Unit (MLHU) reported four new COVID-19 cases on Saturday, while the prov...",https://www.cbc.ca/news/canada/london/coronavirus-cases-london-ontario-may-2-1.5553491
53,['Cbc News'],Coronavirus: What's happening in Canada and around the world on April 23,2020-04-23,Ottawa has announced a $1.1-billion plan to marshal Canada's scientific community in the fight again...,The latest: Federal government announces new measures to mobilize scientists. Saskatchewan unveils ...,https://www.cbc.ca/news/canada/coronavirus-covid19-canada-world-1.5542113
54,['Cbc News'],The latest on the coronavirus outbreak for April 23,2020-04-23,"The latest on the coronavirus outbreak from CBC News for Thursday, April 23.",Coronavirus Brief (CBC) Trudeau announces $1.1B scientific strategy to fight COVID-19. Saskatchew...,https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-23-1.5542961
55,['Thomson Reuters'],"Britain's coronavirus death toll may be vastly understated, study of data suggests",2020-04-22,The British government faced a call Wednesday for an inquiry into its handling of the coronavirus cr...,British Prime Minister Boris Johnson on Wednesday faced a call for an inquiry into his Conservative ...,https://www.cbc.ca/news/world/britain-coronavirus-wednesday-1.5540732
56,['Cbc News'],Coronavirus: What's happening in Canada and around the world April 22,2020-04-22,Prime Minister Justin Trudeau says Ottawa is co-ordinating with provinces and territories about how ...,"The latest: The number of deaths from COVID-19 in Canada exceeds 2,000, as cases top 40,000. Ontar...",https://www.cbc.ca/news/canada/coronavirus-covid19-april22-canada-world-1.5539330
57,['Thomson Reuters'],Spain to let children outside after more than a month under strict coronavirus lockdown,2020-04-22,Relieved Spanish parents welcomed on Wednesday a decision allowing children out on short walks for t...,Relieved Spanish parents welcomed on Wednesday a decision allowing children out on short walks for t...,https://www.cbc.ca/news/spain-covid-19-restrictions-lockdown-children-1.5540840
58,['Cbc News'],The latest on the coronavirus outbreak for April 22,2020-04-22,"The latest on the coronavirus outbreak from CBC News for Wednesday, April 22.","Coronavirus Brief (CBC) Canada's COVID-19 death toll exceeds 2,000; Trudeau co-ordinating with pr...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-22-1.5541578
59,['Cbc News'],Yukon beaders churn out 'fireweed hero pins' for frontline workers,2020-05-02,Kyla Popadynec started making beaded fireweed pins as a hobby. Now hundreds of Yukoners are in on it...,"It started in Dawson City, Yukon, with a simple idea to say thank you: make a pin for Yukoners worki...",https://www.cbc.ca/news/canada/north/yukon-fireweed-hero-pins-1.5548698
60,['Thomson Reuters'],Germany cautiously moving forward with 'manageable' coronavirus caseload,2020-04-17,The coronavirus outbreak in Germany has become manageable again as the number of patients who have r...,The coronavirus outbreak in Germany has become manageable again as the number of patients who have r...,https://www.cbc.ca/news/world/germany-coronavirus-steps-1.5535814
61,['Thomson Reuters'],Coronavirus the musical: U.S. scientists turn virus into melody to aid research,2020-04-21,"From tinkling harmonies as the virus disarms cells to clashing and stormy as it replicates, U.S. sci...","From tinkling harmonies as the virus disarms cells to clashing and stormy as it replicates, U.S. sci...",https://www.cbc.ca/news/entertainment/coronavirus-music-composition-1.5539586
62,['Thomson Reuters'],French authorities deal with protest in Paris suburbs during coronavirus lockdown,2020-04-22,French police will not shy away from enforcing a coronavirus lockdown in the high-rise Paris suburbs...,French police will not shy away from enforcing a coronavirus lockdown in the high-rise Paris suburbs...,https://www.cbc.ca/news/world/france-paris-protests-1.5541119
63,['Cbc News'],Coronavirus: What's happening in Canada and around the world April 21,2020-04-21,Health officials in provinces across Canada are reminding people to stick with public health measure...,"The latest: Federal government has limited ability to ramp up COVID-19 testing countrywide, say off...",https://www.cbc.ca/news/canada/coronavirus-covid19-april21-canada-world-1.5538530
64,['The Associated Press'],1st U.S. coronavirus death occurred weeks earlier than thought in California,2020-04-22,Health officials say two people died with the coronavirus in California weeks before the first repor...,Health officials say two people died with the coronavirus in California weeks before the first repor...,https://www.cbc.ca/news/world/california-coronavirus-deaths-1.5540760
65,['Tory Gillis Began Work As A Journalist With Cbc Saskatchewan In You Can Hear Her Deliver The After...,Sask. Junior Hockey League to continue coronavirus-shortened playoffs via video game simulation,2020-04-22,It won't result in a real Canalta Cup being awarded — but a simulated version of the rest of the SJH...,It won't result in a real Canalta Cup being awarded — but a simulated version of the rest of the Sas...,https://www.cbc.ca/news/canada/saskatchewan/sjhl-virtual-playoffs-1.5541617
66,[],1 new case of COVID-19 in Manitoba on Saturday,2020-05-02,"There is one more person in hospital with COVID-19, bringing the total to six. This marks the fourth...",One new case of COVID-19 was announced in Manitoba on Saturday: a woman in her 60s. The province's d...,https://www.cbc.ca/news/canada/manitoba/manitoba-covid-19-update-1.5553593
67,['Cbc News'],Laval health board takes over management of private seniors' residence,2020-05-02,"A private long-term care home in Laval, Résidence Eden, has been taken over by the local health boar...","The local health authority in Laval has taken over control of Résidence Eden, a private long-term ca...",https://www.cbc.ca/news/canada/montreal/cisss-laval-residence-eden-trusteeship-1.5553600
68,['The Associated Press'],Trump gives states 3-phase plan to start reopening economy as early as Friday,2020-04-16,Several states could be in a position as early as Friday to start relaxing some restrictions imposed...,Several states could be in a position as early as Friday to start relaxing some restrictions imposed...,https://www.cbc.ca/news/world/states-reopen-trump-coronavirus-thursday-1.5534915
69,['Thomson Reuters'],Protests highlight growing U.S. unease over coronavirus lockdowns,2020-04-20,The U.S. debate intensified over when to lift restrictions to control the coronavirus outbreak inten...,The U.S. debate over when to lift restrictions to control the coronavirus outbreak intensified on Mo...,https://www.cbc.ca/news/world/protests-highlight-growing-u-s-unease-over-coronavirus-lockdowns-1.553...
70,['Thomson Reuters'],Singapore migrant workers deal with anxiety as living quarters become COVID-19 cluster,2020-04-21,Singapore will extend a partial lockdown until June 1 to curb a sharp rise in coronavirus infections...,Singapore will extend a partial lockdown until June 1 to curb a sharp rise in coronavirus infections...,https://www.cbc.ca/news/world/singapore-s11-dorm-coronavirus-1.5539303
71,['Cbc News'],Coronavirus: What's happening in Canada and around the world on April 20,2020-04-20,Military members with medical training are helping at long-term care homes struggling with COVID-19 ...,The latest: Health officials in Ontario believe province may have reached peak in community transmi...,https://www.cbc.ca/news/canada/coronavirus-covid19-april20-canada-world-1.5538023
72,[],Diamond mines exempt from coronavirus travel restrictions due to economic importance,2020-04-22,A glaring exception to travel restrictions placed on those entering the Northwest Territories during...,A glaring exception to travel restrictions placed on those entering the Northwest Territories during...,https://www.cbc.ca/news/canada/north/diamond-mines-exempt-from-travel-restrictions-1.5540567
73,['Thomson Reuters'],Protests highlight growing U.S. unease over coronavirus lockdowns,2020-04-20,The U.S. debate intensified over when to lift restrictions to control the coronavirus outbreak inten...,The U.S. debate over when to lift restrictions to control the coronavirus outbreak intensified on Mo...,https://www.cbc.ca/news/world/protests-coronavirus-lockdown-1.5538441
74,['Cbc News'],1 more person has died from COVID-19 in Waterloo region,2020-05-02,One more person has died from COVID-19 in the region and there are nine new confirmed or presumptive...,One more person has died from COVID-19 in Waterloo region and there are nine new confirmed or presum...,https://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-what-you-need-to-know-about-covid-...
75,['Cbc News'],The latest on the coronavirus outbreak for April 21,2020-04-21,"The latest on the coronavirus outbreak from CBC News for Tuesday, April 21.",Coronavirus Brief (CBC) Trudeau announces $350M support fund for community groups helping vulnera...,https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-21-1.5539999
76,['Cbc News'],The latest on the coronavirus outbreak for April 20,2020-04-20,"The latest on the coronavirus outbreak from CBC News for Monday, April 20.",Coronavirus Brief (CBC) How First Nations are grappling with the COVID-19 pandemic. Non-medical m...,https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-20-1.5538814
77,['The Associated Press'],Coronavirus: Tentative easing of lockdowns underway in some countries,2020-04-20,Tattoo parlours and hair salons in Denmark. Beaches in Australia. Bookstores in Germany. Nations aro...,Tattoo parlours and hair salons in Denmark. Beaches in Australia. Bookstores in Germany. Nations aro...,https://www.cbc.ca/news/world/coronavirus-covid19-lockdown-restrctions-germany-europe-us-1.5538131
78,['Cbc News'],97 new COVID-19 cases in Alberta as some services reopen,2020-05-02,"Alberta reported 97 new cases of COVID-19 on Saturday, the lowest number of daily new cases reported...","Alberta reported 97 new cases of COVID-19 on Saturday, the lowest number of daily cases reported in ...",https://www.cbc.ca/news/canada/edmonton/covid-19-update-may-2-1.5553707
79,['For Cbc News'],Coronavirus: What's happening in Canada and around the world on Sunday,2020-04-19,"Prime Minister Justin Trudeau on Sunday said the number of coronavirus cases in Canada ""is trending ...",The latest: G20 health ministers meet to discuss COVID-19 strategies. Trudeau promises support fro...,https://www.cbc.ca/news/canada/coronavirus-covid19-canada-world-1.5537588
80,['The Associated Press'],Several U.S. long-term care facilities have had at least 40 coronavirus deaths,2020-04-20,"With 55 deaths it can only assume were caused by COVID-19, among the most of any long-term care home...","As residents at a nursing home in Kirkland, Wash., began dying in late February from a coronavirus o...",https://www.cbc.ca/news/world/us-nursing-home-deaths-1.5538047
81,[],Anti-lockdown protesters irk premier for turning Canadian flag upside down,2020-05-02,Anti-lockdown protesters drew the ire of Ontario Premier Doug Ford on Saturday when they turned a Ca...,Anti-lockdown protesters drew the ire of Ontario Premier Doug Ford on Saturday when they turned a Ca...,https://www.cbc.ca/news/canada/toronto/upside-down-canadian-flag-anti-lockdown-protest-toronto-ontar...
82,['Cbc News'],Coronavirus: What happened in Canada and around the world on April 18,2020-04-18,Canadian officials acknowledged some regions of the country could be closer to reopening parts of th...,The latest: Closure of Canada-U.S. border extended for another 30 days. Trudeau pledges $306M for I...,https://www.cbc.ca/news/canada/coronavirus-covid19-april17-canada-world-1.5537195
83,"['Los Angeles Correspondent', 'Kim Brunhuber Is A Cbc News Senior Reporter Based In Los Angeles. He ...",COVID-19 threatens Hollywood dream for struggling Canadians in U.S.,2020-04-21,Actors and other creative types living in California who can't rely on royalties or residuals to tid...,"As Harrison Houde sees it, his Hollywood dream isn't over, far from it. But with casting calls cance...",https://www.cbc.ca/news/world/covid-19-hollywood-canadians-1.5533828
84,['Cbc News'],"Men with COVID-19 in B.C. about twice as likely to end up in hospital as women, top doctor says",2020-04-24,B.C.'s provincial health officer says men with COVID-19 are more likely to end up in hospital than w...,B.C.'s provincial health officer says men with COVID-19 are more likely to end up in hospital than w...,https://www.cbc.ca/news/canada/british-columbia/covid-19-men-hospitalization-1.5543462
85,['Cbc News'],Coronavirus: What happened in Canada and around the world on April 18,2020-04-18,Canadian officials acknowledged some regions of the country could be closer to reopening parts of th...,The latest: Closure of Canada-U.S. border extended for another 30 days. Trudeau pledges $306M for I...,https://www.cbc.ca/news/canada/coronavirus-covid19-april18-canada-world-1.5537195
86,['The Associated Press'],"Africa could see 300,000 coronavirus deaths this year: UN group",2020-04-17,"Africa could see 300,000 deaths from the coronavirus this year even under the best-case scenario, ac...","Africa could see 300,000 deaths from the coronavirus this year even under the best-case scenario, ac...",https://www.cbc.ca/news/world/africa-coronavirus-forecast-1.5535627
